City,Venue,Venue Latitude,Venue Longitude,Category Class,Venue Category
Gent,Le Botaniste,51.052138,3.721139,https://ss3.4sqi.net/img/categories_v2/food/vegetarian_,Vegetarian / Vegan Restaurant
Gent,ONA,51.04731300313119,3.7219633162021633,https://ss3.4sqi.net/img/categories_v2/food/winery_,Wine Bar
Gent,Bodydesign,51.04772275933112,3.721505999565124,https://ss3.4sqi.net/img/categories_v2/shops/tattoos_,Tattoo Parlor
Gent,Oats Day Long,51.047714328170116,3.721758127212524,https://ss3.4sqi.net/img/categories_v2/food/breakfast_,Breakfast Spot
Gent,Le Goût avant Tout,51.04904408016024,3.7216931813230185,https://ss3.4sqi.net/img/categories_v2/food/default_,Fondue Restaurant
Gent,Revue,51.04900765032898,3.7214215099811554,https://ss3.4sqi.net/img/categories_v2/food/default_,Bistro
Gent,Javana,51.0521371044594,3.7213236093521114,https://ss3.4sqi.net/img/categories_v2/food/coffeeshop_,Coffee Shop
Gent,Hostel Uppelink,51.05395296768736,3.719891309738159,https://ss3.4sqi.net/img/categories_v2/travel/hostel_,Hostel
Gent,Café Labath,51.05433737528301,3.716747760772705,https://ss3.4sqi.net/img/categories_v2/food/coffeeshop_,Coffee Shop
Gent,Homblé,51.050803402828166,3.71187686920166,https://ss3.4sqi.net/img/categories_v2/food/default_,Comfort Food Restaurant
Gent,Opera Gent,51.04962060150049,3.722160971337731,https://ss3.4sqi.net/img/categories_v2/arts_entertainment/performingarts_operahouse_,Opera House
Gent,Pane & Vino,51.04856830151433,3.721481854648451,https://ss3.4sqi.net/img/categories_v2/food/italian_,Italian Restaurant
Gent,Le Homard Rouge,51.04918389759478,3.7217213803702074,https://ss3.4sqi.net/img/categories_v2/food/seafood_,Seafood Restaurant
Gent,Think Twice,51.04700441890876,3.721783608198166,https://ss3.4sqi.net/img/categories_v2/shops/default_,Thrift / Vintage Store
Gent,& Other Stories,51.05349234350039,3.7221376597881317,https://ss3.4sqi.net/img/categories_v2/shops/apparel_boutique_,Boutique
Gent,Le Perroquet,51.05072415512539,3.711023926734924,https://ss3.4sqi.net/img/categories_v2/food/default_,Bistro
Gent,Fitness Stadium,51.051073,3.709016,https://ss3.4sqi.net/img/categories_v2/building/gym_,Gym / Fitness Center
Gent,Luv l’Oeuf,51.04782393314344,3.7214818596839905,https://ss3.4sqi.net/img/categories_v2/food/breakfast_,Breakfast Spot
Gent,Graslei,51.05473348800937,3.7205676702796717,https://ss3.4sqi.net/img/categories_v2/parks_outdoors/plaza_,Plaza
Gent,Pillows Grand Hotel Reylof,51.05474362,3.71508498,https://ss3.4sqi.net/img/categories_v2/travel/hotel_,Hotel
Gent,De Walrus,51.0501220707613,3.7098189630193468,https://ss3.4sqi.net/img/categories_v2/nightlife/pub_,Bar
Gent,Verloren Kost,51.04623597940396,3.7219847738742824,https://ss3.4sqi.net/img/categories_v2/food/deli_,Sandwich Place
Gent,Greenway,51.04761146788231,3.7215448915958405,https://ss3.4sqi.net/img/categories_v2/food/vegetarian_,Vegetarian / Vegan Restaurant
Gent,STEK,51.04663067568329,3.722074029843832,https://ss3.4sqi.net/img/categories_v2/food/breakfast_,Breakfast Spot
Gent,Kouter,51.050132,3.72384,https://ss3.4sqi.net/img/categories_v2/parks_outdoors/plaza_,Plaza
Gent,Stadium Coupure,51.05101813054551,3.7090159904115128,https://ss3.4sqi.net/img/categories_v2/building/gym_,Gym / Fitness Center
Gent,Handelsbeurs,51.04964602513412,3.7232092022895813,https://ss3.4sqi.net/img/categories_v2/arts_entertainment/musicvenue_,Concert Hall
Gent,Moochie Frozen Yogurt,51.054193311026054,3.7226259623383537,https://ss3.4sqi.net/img/categories_v2/food/frozenyogurt_,Frozen Yogurt Shop
Gent,Korenlei,51.054689,3.720149,https://ss3.4sqi.net/img/categories_v2/parks_outdoors/plaza_,Plaza
Gent,A Food Affair,51.054847428438975,3.713607720031774,https://ss3.4sqi.net/img/categories_v2/food/asian_,Asian Restaurant
Gent,Cru,51.05053110730663,3.7249285212550776,https://ss3.4sqi.net/img/categories_v2/shops/food_gourmet_,Gourmet Shop
Gent,Sint-Michielsbrug,51.05386360932424,3.7205404043197627,https://ss3.4sqi.net/img/categories_v2/parks_outdoors/bridge_,Bridge
Gent,Hunkemöller,51.053237,3.722422,https://ss3.4sqi.net/img/categories_v2/shops/apparel_lingerie_,Lingerie Store
Gent,Brasserie HA',51.04971009924692,3.7230724096298213,https://ss3.4sqi.net/img/categories_v2/food/french_,Brasserie
Gent,Soup'r,51.05336117607224,3.7232910096645355,https://ss3.4sqi.net/img/categories_v2/food/soup_,Soup Place
Gent,Korenmarkt,51.053782570472706,3.7223973093585863,https://ss3.4sqi.net/img/categories_v2/parks_outdoors/plaza_,Plaza
Gent,Worlds' End Comics & Games bar,51.049317,3.725572,https://ss3.4sqi.net/img/categories_v2/shops/comic_,Comic Shop
Gent,Take Five Espressobar,51.05229896702481,3.724204301834106,https://ss3.4sqi.net/img/categories_v2/food/coffeeshop_,Coffee Shop
Gent,Cuit by Cru,51.05053670799075,3.7248983889501903,https://ss3.4sqi.net/img/categories_v2/food/default_,Bistro
Gent,Ghent Marriott Hotel,51.05511119780914,3.719812710774022,https://ss3.4sqi.net/img/categories_v2/travel/hotel_,Hotel
Gent,BEO Versmarkt,51.053251584202485,3.72361421585083,https://ss3.4sqi.net/img/categories_v2/shops/food_grocery_,Organic Grocery
Gent,Pakhuis,51.0532751886271,3.7215033173561096,https://ss3.4sqi.net/img/categories_v2/food/default_,Bistro
Gent,Vishandel De Vis,51.05230908341638,3.7237697839736934,https://ss3.4sqi.net/img/categories_v2/shops/food_fishmarket_,Fish Market
Gent,Hot Yoga,51.047107815185214,3.722469670126165,https://ss3.4sqi.net/img/categories_v2/shops/gym_yogastudio_,Yoga Studio
Gent,Optiek Matthijs,51.05321294029603,3.724571464183585,https://ss3.4sqi.net/img/categories_v2/building/medical_opticalshop_,Optical Shop
Gent,Sphinx Cinema,51.05396200533116,3.7217224112412155,https://ss3.4sqi.net/img/categories_v2/arts_entertainment/movietheater_,Indie Movie Theater
Gent,Plan B,51.046474,3.721108,https://ss3.4sqi.net/img/categories_v2/nightlife/pub_,Pub
Gent,The Other Shop,51.0528233304091,3.724555671215058,https://ss3.4sqi.net/img/categories_v2/shops/bookstore_,Bookstore
Gent,West Site,51.046708830414026,3.7221562899572818,https://ss3.4sqi.net/img/categories_v2/parks_outdoors/surfspot_,Board Shop
Gent,Mòris,51.05436,3.7225273,https://ss3.4sqi.net/img/categories_v2/nightlife/pub_,Bar
Gent,Kin Khao,51.05474709559198,3.7229533660782272,https://ss3.4sqi.net/img/categories_v2/food/thai_,Thai Restaurant
Gent,The Cobbler,51.05403934246974,3.7209602871616334,https://ss3.4sqi.net/img/categories_v2/travel/hotel_bar_,Hotel Bar
Gent,Potatolicious,51.04629618505087,3.7218064069747925,https://ss3.4sqi.net/img/categories_v2/food/vegetarian_,Vegetarian / Vegan Restaurant
Gent,Gillis,51.05455790899685,3.7148201493742365,https://ss3.4sqi.net/img/categories_v2/food/default_,Belgian Restaurant
Gent,Missy Sippy Blues & Roots Club,51.05420619106594,3.7226390354138856,https://ss3.4sqi.net/img/categories_v2/nightlife/pub_,Pub
Gent,I.Ma.Gi.N. Jewels,51.050135624549625,3.7264248415776304,https://ss3.4sqi.net/img/categories_v2/shops/jewelry_,Jewelry Store
Gent,Huset,51.05487733977299,3.7133150008776696,https://ss3.4sqi.net/img/categories_v2/food/coffeeshop_,Coffee Shop
Gent,Galleria Laurenzo Men,51.052292222762546,3.7253925204277034,https://ss3.4sqi.net/img/categories_v2/shops/apparel_men_,Men's Store
Gent,Giri,51.056170776489886,3.72019842840479,https://ss3.4sqi.net/img/categories_v2/food/breakfast_,Breakfast Spot
Gent,Limonada,51.05312732408609,3.7241855576537137,https://ss3.4sqi.net/img/categories_v2/nightlife/cocktails_,Cocktail Bar
Gent,PIET moodshop,51.047905,3.727143,https://ss3.4sqi.net/img/categories_v2/shops/giftshop_,Gift Shop
Gent,OR Coffee,51.047276,3.727036,https://ss3.4sqi.net/img/categories_v2/food/coffeeshop_,Coffee Shop
Gent,Champagnekelder,51.05425138965051,3.7231568992137904,https://ss3.4sqi.net/img/categories_v2/food/winery_,Wine Bar
Gent,Le Pain Quotidien,51.0544435926086,3.721522092819214,https://ss3.4sqi.net/img/categories_v2/food/bakery_,Bakery
Gent,Vooruit Terras,51.04741965971779,3.727368124908917,https://ss3.4sqi.net/img/categories_v2/nightlife/pub_,Bar
Gent,Mosquito Coast,51.055312374435374,3.7234658388261543,https://ss3.4sqi.net/img/categories_v2/nightlife/cocktails_,Cocktail Bar
Gent,LUSH,51.05597444382808,3.7226901948451996,https://ss3.4sqi.net/img/categories_v2/shops/beauty_cosmetic_,Cosmetics Shop
Gent,Hot Club Gent,51.05629645564862,3.7225198745727535,https://ss3.4sqi.net/img/categories_v2/arts_entertainment/musicvenue_jazzclub_,Jazz Club
Gent,Starbucks,51.05483927750884,3.722051101180085,https://ss3.4sqi.net/img/categories_v2/food/coffeeshop_,Coffee Shop
Gent,Oak,51.055996976428695,3.7109929290372796,https://ss3.4sqi.net/img/categories_v2/food/default_,Belgian Restaurant
Gent,Sint-Baafsplein,51.053396599509625,3.72564292280405,https://ss3.4sqi.net/img/categories_v2/parks_outdoors/plaza_,Plaza
Gent,Amadeus 2,51.05423115771377,3.724086284637451,https://ss3.4sqi.net/img/categories_v2/food/bbqalt_,BBQ Joint
Gent,Pain Perdu,51.04903715856181,3.727094382047653,https://ss3.4sqi.net/img/categories_v2/food/breakfast_,Breakfast Spot
Gent,Het Mekka van de Kaas,51.05127868578052,3.725661219151427,https://ss3.4sqi.net/img/categories_v2/shops/food_cheese_,Cheese Shop
Gent,STAMcafé by Pain Perdu,51.04376552391814,3.717311436475683,https://ss3.4sqi.net/img/categories_v2/nightlife/pub_,Bar
Gent,Otomat,51.056328488115646,3.721597194671631,https://ss3.4sqi.net/img/categories_v2/food/pizza_,Pizza Place
Gent,Cremerie Gerard,51.05218768657186,3.727559745311737,https://ss3.4sqi.net/img/categories_v2/food/icecream_,Ice Cream Shop
Gent,Basic-Fit,51.047316550397944,3.7267699425479575,https://ss3.4sqi.net/img/categories_v2/building/gym_,Gym / Fitness Center
Gent,Music Mania,51.047909930710205,3.727447092533111,https://ss3.4sqi.net/img/categories_v2/shops/record_shop_,Record Shop
Gent,De Alchemist,51.05663785316981,3.720632940530777,https://ss3.4sqi.net/img/categories_v2/nightlife/pub_,Bar
Gent,Au Bon Vivant,51.05583899104306,3.722245277107624,https://ss3.4sqi.net/img/categories_v2/food/winery_,Wine Bar
Gent,Stadshalpark,51.05386541456209,3.72396091215492,https://ss3.4sqi.net/img/categories_v2/parks_outdoors/park_,Park
Gent,Het Spijker,51.055556330897545,3.7212538719177246,https://ss3.4sqi.net/img/categories_v2/nightlife/pub_,Pub
Gent,DreamCATchers,51.05519132542598,3.725470700417339,https://ss3.4sqi.net/img/categories_v2/parks_outdoors/dogrun_,Pet Café
Charleroi,Eden,50.41083,4.441291,https://ss3.4sqi.net/img/categories_v2/arts_entertainment/musicvenue_,Concert Hall
Charleroi,Nirvana,50.410285847743964,4.441964490876353,https://ss3.4sqi.net/img/categories_v2/nightlife/cocktails_,Cocktail Bar
Charleroi,Traiteur Imperial,50.41345225391608,4.4438563188560405,https://ss3.4sqi.net/img/categories_v2/food/default_,Restaurant
Charleroi,Le Pain Quotidien,50.40867322813965,4.441362250249767,https://ss3.4sqi.net/img/categories_v2/food/bakery_,Bakery
Charleroi,Librairie Molière,50.407723,4.443037,https://ss3.4sqi.net/img/categories_v2/shops/bookstore_,Bookstore
