ID,Name,Habitants,Index,Acreage,HabitantsPerSquareKm,ProsperityIndex,Province,Latitude,Longitude,BoundingBox,Frans,Nederlands,Duits,Begin,Einde,geojson_name
127,Scherpenheuvel-Zichem,23029,381.0,50.5,456,109.2,Vlaams-Brabant,50.9799172,4.9729866,"['50.9530681', '51.0461797', '4.902425', '5.0222562']",Montaigu-Zichem,Scherpenheuvel-Zichem,Scherpenheuvel-Zichem,02.01.1977,31.12.9999,Scherpenheuvel-Zichem
128,Nijlen,22949,543.0,39.09,587,108.3,Antwerpen,51.161188700000004,4.6709517317049505,"['51.1411123', '51.1810801', '4.6249515', '4.7202599']",-,Nijlen,-,01.01.0001,31.12.9999,Nijlen
129,Fleurus,22918,227.0,59.28,387,87.4,Henegouwen,50.482944,4.5496989999999995,"['50.4379751', '50.5423059', '4.4782107', '4.6007581']",Fleurus,-,-,01.01.0001,31.12.9999,Fleurus
130,Zedelgem,22819,281.0,60.34,378,108.6,West-Vlaanderen,51.1389736,3.1395587000000003,"['51.083988', '51.1674434', '3.0574805', '3.2152735']",-,Zedelgem,-,01.01.0001,31.12.9999,Zedelgem
131,Grâce-Hollogne,22660,231.0,34.24,662,83.7,Luik,50.6393049,5.505763099999999,"['50.6139077', '50.6611272', '5.3493908', '5.5126066']",Grâce-Hollogne,-,-,01.01.1971,31.12.9999,Grâce-Hollogne
132,Balen,22618,467.0,72.88,310,103.2,Antwerpen,51.1707551,5.1696859,"['51.116142', '51.2111377', '5.0886974', '5.2622543']",-,Balen,-,01.01.0001,31.12.9999,Balen
133,Rixensart,22558,746.0,17.54,1286,125.4,Waals-Brabant,50.712250399999995,4.5216455,"['50.6950841', '50.7487935', '4.477272', '4.5666973']",Rixensart,-,-,01.01.0001,31.12.9999,Rixensart
134,Lochristi,22489,253.0,60.34,373,118.8,Oost-Vlaanderen,51.09792835,3.83556137314955,"['51.074268', '51.1215188', '3.7866116', '3.8789317']",-,Lochristi,-,01.01.0001,31.12.9999,Lochristi
135,Tervuren,22422,522.0,32.92,681,127.2,Vlaams-Brabant,50.824188299999996,4.5138824,"['50.7938148', '50.8674578', '4.4471762', '4.5864205']",-,Tervuren,-,01.01.0001,31.12.9999,Tervuren
136,Edegem,22063,2.006,8.65,2550,127.4,Antwerpen,51.1548066,4.445831200000001,"['51.1444366', '51.1732113', '4.3969953', '4.463714']",-,Edegem,-,01.01.0001,31.12.9999,Edegem
137,Koekelberg,21990,1.0,1.17,18755,69.9,Brussel,50.860604200000004,4.3315503,"['50.8567758', '50.8676331', '4.3070126', '4.3377383']",Koekelberg,Koekelberg,-,01.01.0001,31.12.9999,Koekelberg
138,Zoersel,21944,1.28,38.65,568,119.2,Antwerpen,51.262477200000006,4.69216389230367,"['51.2392646', '51.2856643', '4.6440232', '4.7433341']",-,Zoersel,-,01.01.0001,31.12.9999,Zoersel
139,Frameries,21934,172.0,25.95,845,84.6,Henegouwen,50.4087571,3.8905656000000004,"['50.3422049', '50.4242963', '3.8380031', '3.9492926']",Frameries,-,-,01.01.0001,31.12.9999,Frameries
140,Koksijde,21910,893.0,43.96,498,135.2,West-Vlaanderen,51.1091101,2.63534260150223,"['51.0834698', '51.1351356', '2.6021169', '2.6691673']",-,Koksijde,-,01.01.0001,31.12.9999,Koksijde
141,'s-Gravenbrakel,21901,208.0,84.68,259,101.7,Henegouwen,50.612348100000006,4.1425138,"['50.5645364', '50.6689332', '4.0265027', '4.2533465']",,,,,,
142,Herent,21682,447.0,32.73,662,136.3,Vlaams-Brabant,50.9029514,4.6728252999999995,"['50.8784551', '50.946513', '4.5985044', '4.7024905']",-,Herent,-,01.01.0001,31.12.9999,Herent
143,Bornem,21366,224.0,45.76,467,118.2,Antwerpen,51.09096325,4.23896772344979,"['51.0598325', '51.1216274', '4.1826086', '4.2795789']",-,Bornem,-,01.01.0001,31.12.9999,Bornem
144,Hoogstraten,21355,335.0,105.32,203,99.8,Antwerpen,51.39574085,4.74406564141858,"['51.3756418', '51.4161913', '4.7092841', '4.7853199']",-,Hoogstraten,-,01.01.0001,31.12.9999,Hoogstraten
145,Zonhoven,21237,770.0,39.34,540,105.3,Limburg,50.9909835,5.3677683,"['50.9629612', '51.011948', '5.3010367', '5.4647881']",-,Zonhoven,-,01.01.0001,31.12.9999,Zonhoven
146,Hoei,21227,183.0,47.74,445,92.1,Luik,50.518085600000006,5.2408138,"['50.467667', '50.5388709', '5.1291778', '5.3237166']",Huy,Hoei,-,01.01.0001,31.12.9999,Huy
147,Eeklo,21134,237.0,30.05,703,100.7,Oost-Vlaanderen,51.184482700000004,3.5665964999999997,"['51.162342', '51.2188333', '3.508273', '3.609127']",-,Eeklo,-,01.01.0001,31.12.9999,Eeklo
