City,Venue,Venue Latitude,Venue Longitude,Category Class,Venue Category,class1,class2
Stavelot,Ô Mal Aimé,50.39360091647925,5.928425706151403,https://ss3.4sqi.net/img/categories_v2/travel/hotel_,Hotel,travel,travel hotel_
Stavelot,Musée du Circuit,50.39360338174722,5.93177882217024,https://ss3.4sqi.net/img/categories_v2/arts_entertainment/museum_history_,History Museum,arts_entertainment,arts_entertainment museum_history_
Stavelot,Friterie Sébastien,50.39480251634692,5.931621560166311,https://ss3.4sqi.net/img/categories_v2/food/fastfood_,Friterie,food,food fastfood_
Stavelot,Carrefour market,50.396824205601355,5.937517251962618,https://ss3.4sqi.net/img/categories_v2/shops/food_grocery_,Grocery Store,shops,shops food_grocery_
Stavelot,OKay,50.398136984700834,5.942786815421642,https://ss3.4sqi.net/img/categories_v2/shops/food_grocery_,Supermarket,shops,shops food_grocery_
Stavelot,Ligne 26,50.39642955999954,5.9319676858213,https://ss3.4sqi.net/img/categories_v2/food/deli_,Sandwich Place,food,food deli_
Stavelot,Cafe des Musées,50.39370352979601,5.931931210016339,https://ss3.4sqi.net/img/categories_v2/food/snacks_,Snack Place,food,food snacks_
Stavelot,Cote Brasserie Marechal - Ligot,50.394459402820814,5.930960274016672,https://ss3.4sqi.net/img/categories_v2/food/bakery_,Bakery,food,food bakery_
Stavelot,Vakantiehuis Hottonruy,50.393015999999996,5.929339,https://ss3.4sqi.net/img/categories_v2/travel/hostel_,Vacation Rental,travel,travel hostel_
Stavelot,palais de chine,50.390881,5.924759,https://ss3.4sqi.net/img/categories_v2/food/asian_,Chinese Restaurant,food,food asian_
Beaumont,OKay,50.237393328470574,4.247383294615776,https://ss3.4sqi.net/img/categories_v2/shops/food_grocery_,Supermarket,shops,shops food_grocery_
Beaumont,Le Picotin,50.23747272718832,4.234930015283691,https://ss3.4sqi.net/img/categories_v2/food/default_,Restaurant,food,food default_
Beaumont,friterie du parc,50.23720593595209,4.23887425128108,https://ss3.4sqi.net/img/categories_v2/food/fastfood_,Friterie,food,food fastfood_
Beaumont,Espace Pizza,50.23679251738999,4.236249922300945,https://ss3.4sqi.net/img/categories_v2/food/pizza_,Pizza Place,food,food pizza_
Beaumont,Le Mouton Blanc,50.237340532384536,4.2350501528042095,https://ss3.4sqi.net/img/categories_v2/nightlife/pub_,Pub,nightlife,nightlife pub_
Beaumont,Grand Place,50.237477724167995,4.2350082514654925,https://ss3.4sqi.net/img/categories_v2/parks_outdoors/plaza_,Plaza,parks_outdoors,parks_outdoors plaza_
Beaumont,Centre Sportif Beaumont,50.240115544048535,4.240861606058955,https://ss3.4sqi.net/img/categories_v2/arts_entertainment/stadium_,Stadium,arts_entertainment,arts_entertainment stadium_
Beaumont,Match,50.23908627888864,4.243428589670547,https://ss3.4sqi.net/img/categories_v2/shops/food_grocery_,Supermarket,shops,shops food_grocery_
Anhée,La Brasserie du Moulin,50.31611628206422,4.874845814791737,https://ss3.4sqi.net/img/categories_v2/food/gastropub_,Gastropub,food,food gastropub_
Anhée,Louis Delhaize,50.3097743060705,4.877651993934698,https://ss3.4sqi.net/img/categories_v2/shops/food_grocery_,Supermarket,shops,shops food_grocery_
Anhée,Boulangerie Pâtisserie Pierret,50.3102382211821,4.878459770979004,https://ss3.4sqi.net/img/categories_v2/food/bakery_,Bakery,food,food bakery_
Anhée,La Salle D'Armes,50.308923465911725,4.881287913448216,https://ss3.4sqi.net/img/categories_v2/building/gym_,Gym / Fitness Center,building,building gym_
Anhée,Intermarché Anhée,50.315394071744954,4.8755725898642055,https://ss3.4sqi.net/img/categories_v2/shops/food_grocery_,Supermarket,shops,shops food_grocery_
Anhée,Complexe Sportif Et Culturel D'Anhée,50.30472329721407,4.879702339007962,https://ss3.4sqi.net/img/categories_v2/arts_entertainment/stadium_,Stadium,arts_entertainment,arts_entertainment stadium_
Anhée,Le Minotier,50.31615972518921,4.87474277,https://ss3.4sqi.net/img/categories_v2/food/pizza_,Pizza Place,food,food pizza_
Assesse,Boulangerie nelis,50.37085600159211,5.023083247635723,https://ss3.4sqi.net/img/categories_v2/food/bakery_,Bakery,food,food bakery_
Assesse,Gare d'Assesse,50.36822701834776,5.022554397583008,https://ss3.4sqi.net/img/categories_v2/travel/trainstation_,Train Station,travel,travel trainstation_
Assesse,R.U.S. Assesse,50.36750885340517,5.020554284700576,https://ss3.4sqi.net/img/categories_v2/arts_entertainment/stadium_soccer_,Soccer Field,arts_entertainment,arts_entertainment stadium_soccer_
