Frans,Nederlands,Duits,Begin,Einde
-,Vaalbeek,-,01.01.0001,22.02.1977
-,Veltem-Beisem,-,01.01.0001,03.01.1977
-,Vertrijk,-,01.01.0001,26.01.1971
-,Vissenaken,-,01.01.0001,02.01.1971
-,Vossem,-,01.01.0001,02.01.1977
-,Waanrode,-,01.01.0001,01.01.1977
-,Waasmont,-,01.01.0001,25.01.1965
-,Walsbets,-,01.01.0001,25.01.1965
Houtain-l'Evêque,Walshoutem,Walshoutem,01.01.0001,02.01.1977
-,Wange,-,01.01.0001,01.01.1971
-,Webbekom,-,01.01.0001,12.08.1972
-,Werchter,-,01.01.0001,02.01.1977
-,Wespelaar,-,01.01.0001,02.01.1977
-,Wezemaal,-,01.01.0001,01.01.1977
-,Wezeren,-,01.01.0001,25.01.1965
-,Willebringen,-,01.01.0001,02.01.1965
-,Wilsele,-,01.01.0001,02.01.1977
-,Winksele,-,01.01.0001,03.01.1977
-,Wommersom,-,01.01.0001,01.01.1977
-,Zichem,-,01.01.0001,02.01.1977
Léau,Zoutleeuw,Zoutleeuw,01.01.0001,31.12.9999
-,Honsem,-,02.01.1965,02.01.1977
-,Orsmaal,-,01.01.1971,01.01.1977
-,Linter,-,01.04.1972,31.12.9999
Montaigu-Zichem,Scherpenheuvel-Zichem,Scherpenheuvel-Zichem,02.01.1977,31.12.9999
-,Tielt-Winge,-,01.01.1977,31.12.9999
-,Glabbeek,-,01.01.0001,31.12.9999
-,Caggevinne-Assent,-,01.01.0001,26.03.1922
Brabant wallon,Waals-Brabant,Wallonisch-Brabant,01.01.0001,31.12.9999
Archennes,Eerken,-,01.01.0001,16.02.1977
Autre-Eglise,-,-,01.01.0001,02.01.1977
Baisy-Thy,-,-,01.01.0001,03.01.1977
Baulers,-,-,01.01.0001,03.01.1977
Beauvechain,Bevekom,-,01.01.0001,31.12.9999
Bierges,-,-,01.01.0001,03.01.1977
Bierghes,Bierk,-,01.01.0001,02.01.1977
Biez,-,-,01.01.0001,16.02.1977
Bomal (lez-Jodoigne),-,-,01.01.0001,02.01.1971
Bonlez,-,-,01.01.0001,01.01.1977
Bornival,-,-,01.01.0001,03.01.1977
Bossut-Gottechain,-,-,01.01.0001,16.02.1977
Bousval,-,-,01.01.0001,02.01.1977
Braine-l'Alleud,Eigenbrakel,-,01.01.0001,31.12.9999
Braine-le-Château,Kasteelbrakel,-,01.01.0001,31.12.9999
Céroux-Mousty,-,-,01.01.0001,03.01.1977
Chastre-Villeroux-Blanmont,-,-,01.01.0001,02.01.1977
Chaumont-Gistoux,-,-,01.01.0001,31.12.9999
