ID,Name,Habitants,Index,Acreage,HabitantsPerSquareKm,ProsperityIndex,Province,Latitude,Longitude,BoundingBox,Frans,Nederlands,Duits,Begin,Einde,geojson_name,Cluster Labels,1st Most Common Venue,2nd Most Common Venue,3rd Most Common Venue,4th Most Common Venue,5th Most Common Venue
100,Flémalle,26304,293.0,36.68,717,88.6,Luik,50.6022808,5.4580872000000005,"['50.557042', '50.629369', '5.3804516', '5.4889666']",Flémalle,-,-,01.01.1977,31.12.9999,Flémalle,4,Supermarket,Pizza Place,Sandwich Place,Restaurant,Italian Restaurant
101,Tubeke,26233,484.0,32.66,803,90.5,Waals-Brabant,50.69302,4.204696,"['50.6521235', '50.7290783', '4.1309627', '4.2465439']",Tubize,Tubeke,-,01.01.0001,31.12.9999,Tubize,3,Italian Restaurant,Japanese Restaurant,Restaurant,Supermarket,Bus Stop
103,Mortsel,26099,1.71,7.78,3353,114.8,Antwerpen,51.1704119,4.4566996,"['51.1610297', '51.1895776', '4.433151', '4.4840387']",-,Mortsel,-,01.01.0001,31.12.9999,Mortsel,0,Park,Bar,Supermarket,Bus Stop,Pizza Place
106,Lanaken,25841,462.0,59.0,438,102.7,Limburg,50.8892784,5.6513208,"['50.8332557', '50.9445252', '5.571813', '5.724603']",-,Lanaken,-,01.01.0001,31.12.9999,Lanaken,3,Friterie,Plaza,Bus Stop,Sandwich Place,Kebab Restaurant
107,Wetteren,25815,236.0,36.68,704,107.8,Oost-Vlaanderen,50.9983603,3.87310405354379,"['50.9681768', '51.028343', '3.8206935', '3.923201']",-,Wetteren,-,01.01.0001,31.12.9999,Wetteren,0,Bar,Bistro,Friterie,Sandwich Place,Bakery
108,Oupeye,25446,316.0,36.11,705,95.6,Luik,50.7091889,5.6450671,"['50.6815349', '50.7531272', '5.5927078', '5.6920664']",Oupeye,-,-,01.01.0001,31.12.9999,Oupeye,3,Supermarket,Sandwich Place,Italian Restaurant,French Restaurant,Bar
109,Overijse,25403,518.0,44.43,572,130.6,Vlaams-Brabant,50.7701622,4.5351806,"['50.7272784', '50.8080717', '4.4516688', '4.6135465']",-,Overijse,-,01.01.0001,31.12.9999,Overijse,0,Bar,Bakery,Gastropub,Plaza,Bookstore
110,Maaseik,25317,397.0,76.91,329,97.0,Limburg,51.0947181,5.791733,"['51.0187774', '51.129861', '5.6073296', '5.8338268']",-,Maaseik,-,01.01.0001,31.12.9999,Maaseik,3,Supermarket,Bar,Athletics & Sports,French Restaurant,Coffee Shop
111,Beersel,25251,412.0,30.01,842,118.1,Vlaams-Brabant,50.76843529999999,4.30510975707024,"['50.7547668', '50.7821943', '4.2843378', '4.3387548']",-,Beersel,-,01.01.0001,31.12.9999,Beersel,0,Bar,Bakery,Friterie,Park,Sandwich Place
112,Watermaal-Bosvoorde,25184,638.0,12.93,1947,109.2,Brussel,50.79810629999999,4.4176441,"['50.7722458', '50.8150912', '4.3923973', '4.4702112']",Watermael-Boitsfort,Watermaal-Bosvoorde,-,01.01.0001,31.12.9999,Watermaal-Bosvoorde#Watermael-Boitsfort,3,Italian Restaurant,French Restaurant,Restaurant,Ice Cream Shop,Park
113,Sint-Agatha-Berchem,25179,3.747,2.95,8537,85.6,Brussel,50.86492310000001,4.2946734000000015,"['50.8552706', '50.8748901', '4.2791942', '4.3140336']",Berchem-Sainte-Agathe,Sint-Agatha-Berchem,-,01.01.0001,31.12.9999,Sint-Agatha-Berchem#Berchem-Sainte-Agathe,3,Supermarket,Bar,Greek Restaurant,Snack Place,Gym / Fitness Center
114,Westerlo,25051,437.0,55.13,454,109.1,Antwerpen,51.086694,4.9168675,"['51.0638251', '51.1477363', '4.8116505', '4.9480634']",-,Westerlo,-,01.01.0001,31.12.9999,Westerlo,0,Bar,Restaurant,Trail,Kebab Restaurant,Sandwich Place
115,Ganshoren,24902,2.4530000000000003,2.46,10142,84.4,Brussel,50.8703273,4.307798,"['50.8657487', '50.8821034', '4.2914001', '4.3261046']",Ganshoren,Ganshoren,-,01.01.0001,31.12.9999,Ganshoren,3,Bar,Supermarket,Plaza,Italian Restaurant,Restaurant
117,Merelbeke,24660,332.0,36.65,673,124.6,Oost-Vlaanderen,50.99575615,3.74567419991459,"['50.9648362', '51.0273469', '3.7110963', '3.779177']",-,Merelbeke,-,01.01.0001,31.12.9999,Merelbeke,3,Athletics & Sports,Sports Club,Sandwich Place,Sports Bar,Soccer Field
118,Zwevegem,24656,163.0,63.24,390,106.8,West-Vlaanderen,50.80406995,3.34190674262759,"['50.7795268', '50.828156', '3.3049548', '3.3792626']",-,Zwevegem,-,01.01.0001,31.12.9999,Zwevegem,0,Bar,Supermarket,Clothing Store,Bakery,Athletics & Sports
119,Saint-Nicolas,24263,636.0,6.84,3546,74.2,Luik,50.6305341,5.5394190000000005,"['50.6129221', '50.6513592', '5.5066107', '5.5492644']",Saint-Nicolas,-,-,01.01.0001,31.12.9999,Saint-Nicolas,3,Nightclub,Italian Restaurant,Bakery,Friterie,Bistro
120,Diest,23998,190.0,58.2,412,112.8,Vlaams-Brabant,50.98456645,5.052873496255041,"['50.9731545', '50.9960722', '5.0324812', '5.0700614']",-,Diest,-,01.01.0001,31.12.9999,Diest,0,Bar,Pub,Cosmetics Shop,Sandwich Place,Dance Studio
121,Maldegem,23774,199.0,94.64,251,103.3,Oost-Vlaanderen,51.20888710000001,3.4452214,"['51.146858', '51.2744554', '3.360477', '3.544934']",-,Maldegem,-,01.01.0001,31.12.9999,Maldegem,0,Bar,Athletics & Sports,Bistro,Furniture / Home Store,Friterie
122,Oostkamp,23698,239.0,79.65,298,111.1,West-Vlaanderen,51.1511469,3.24972641333963,"['51.115734', '51.186519', '3.1915152', '3.2973646']",-,Oostkamp,-,01.01.0001,31.12.9999,Oostkamp,3,Friterie,Soccer Field,Bar,Sports Club,Supermarket
124,Zemst,23358,399.0,42.83,545,130.9,Vlaams-Brabant,50.9842166,4.465081400000001,"['50.9465279', '51.0093147', '4.3694339', '4.5287027']",-,Zemst,-,01.01.0001,31.12.9999,Zemst,3,Sandwich Place,Flower Shop,Gym / Fitness Center,Tea Room,Pharmacy
125,Saint-Ghislain,23311,207.0,70.18,332,94.5,Henegouwen,50.4477484,3.8195241,"['50.4382063', '50.5415289', '3.7365195', '3.8794189']",Saint-Ghislain,-,-,01.01.0001,31.12.9999,Saint-Ghislain,3,Road,Pizza Place,Brasserie,Bus Station,Supermarket
126,Manage,23308,524.0,19.6,1189,80.6,Henegouwen,50.5040159,4.2355599,"['50.4649718', '50.522387', '4.2040892', '4.2817323']",Manage,-,-,01.01.2019,31.12.9999,Manage,3,Grocery Store,Friterie,French Restaurant,Plaza,Zoo
127,Scherpenheuvel-Zichem,23029,381.0,50.5,456,109.2,Vlaams-Brabant,50.9799172,4.9729866,"['50.9530681', '51.0461797', '4.902425', '5.0222562']",Montaigu-Zichem,Scherpenheuvel-Zichem,Scherpenheuvel-Zichem,02.01.1977,31.12.9999,Scherpenheuvel-Zichem,3,Friterie,Bakery,Bar,Pub,Intersection
128,Nijlen,22949,543.0,39.09,587,108.3,Antwerpen,51.1611887,4.670951731704951,"['51.1411123', '51.1810801', '4.6249515', '4.7202599']",-,Nijlen,-,01.01.0001,31.12.9999,Nijlen,3,Bakery,Friterie,Pub,Platform,Gym / Fitness Center
129,Fleurus,22918,227.0,59.28,387,87.4,Henegouwen,50.482944,4.549699,"['50.4379751', '50.5423059', '4.4782107', '4.6007581']",Fleurus,-,-,01.01.0001,31.12.9999,Fleurus,4,Department Store,Grocery Store,Supermarket,Fast Food Restaurant,Italian Restaurant
130,Zedelgem,22819,281.0,60.34,378,108.6,West-Vlaanderen,51.1389736,3.1395587000000003,"['51.083988', '51.1674434', '3.0574805', '3.2152735']",-,Zedelgem,-,01.01.0001,31.12.9999,Zedelgem,3,Pharmacy,Cosmetics Shop,Farmers Market,Health & Beauty Service,Clothing Store
131,Grâce-Hollogne,22660,231.0,34.24,662,83.7,Luik,50.6393049,5.5057630999999985,"['50.6139077', '50.6611272', '5.3493908', '5.5126066']",Grâce-Hollogne,-,-,01.01.1971,31.12.9999,Grâce-Hollogne,4,Supermarket,Italian Restaurant,Pizza Place,Sandwich Place,Pet Store
132,Balen,22618,467.0,72.88,310,103.2,Antwerpen,51.1707551,5.1696859,"['51.116142', '51.2111377', '5.0886974', '5.2622543']",-,Balen,-,01.01.0001,31.12.9999,Balen,3,Supermarket,Bar,Friterie,Pizza Place,Brasserie
133,Rixensart,22558,746.0,17.54,1286,125.4,Waals-Brabant,50.7122504,4.5216455,"['50.6950841', '50.7487935', '4.477272', '4.5666973']",Rixensart,-,-,01.01.0001,31.12.9999,Rixensart,4,Bakery,Pizza Place,Supermarket,Bus Stop,French Restaurant
134,Lochristi,22489,253.0,60.34,373,118.8,Oost-Vlaanderen,51.09792835,3.83556137314955,"['51.074268', '51.1215188', '3.7866116', '3.8789317']",-,Lochristi,-,01.01.0001,31.12.9999,Lochristi,3,Bakery,Flower Shop,Lounge,Bus Stop,Friterie
135,Tervuren,22422,522.0,32.92,681,127.2,Vlaams-Brabant,50.8241883,4.5138824,"['50.7938148', '50.8674578', '4.4471762', '4.5864205']",-,Tervuren,-,01.01.0001,31.12.9999,Tervuren,0,Bar,Bistro,Italian Restaurant,Notary,Bakery
136,Edegem,22063,2.006,8.65,2550,127.4,Antwerpen,51.1548066,4.4458312000000015,"['51.1444366', '51.1732113', '4.3969953', '4.463714']",-,Edegem,-,01.01.0001,31.12.9999,Edegem,0,Bar,Convenience Store,Clothing Store,Garden,Friterie
137,Koekelberg,21990,1.0,1.17,18755,69.9,Brussel,50.8606042,4.3315503,"['50.8567758', '50.8676331', '4.3070126', '4.3377383']",Koekelberg,Koekelberg,-,01.01.0001,31.12.9999,Koekelberg,3,Supermarket,Park,Bar,Gym / Fitness Center,French Restaurant
138,Zoersel,21944,1.28,38.65,568,119.2,Antwerpen,51.262477200000006,4.69216389230367,"['51.2392646', '51.2856643', '4.6440232', '4.7433341']",-,Zoersel,-,01.01.0001,31.12.9999,Zoersel,0,Brasserie,Bar,Belgian Restaurant,Playground,Volleyball Court
139,Frameries,21934,172.0,25.95,845,84.6,Henegouwen,50.4087571,3.8905656,"['50.3422049', '50.4242963', '3.8380031', '3.9492926']",Frameries,-,-,01.01.0001,31.12.9999,Frameries,4,Italian Restaurant,Chinese Restaurant,Supermarket,Pizza Place,Snack Place
140,Koksijde,21910,893.0,43.96,498,135.2,West-Vlaanderen,51.1091101,2.63534260150223,"['51.0834698', '51.1351356', '2.6021169', '2.6691673']",-,Koksijde,-,01.01.0001,31.12.9999,Koksijde,3,Restaurant,French Restaurant,Hotel,Bakery,Snack Place
142,Herent,21682,447.0,32.73,662,136.3,Vlaams-Brabant,50.9029514,4.6728253,"['50.8784551', '50.946513', '4.5985044', '4.7024905']",-,Herent,-,01.01.0001,31.12.9999,Herent,1,Friterie,Bus Stop,Hotel,Brasserie,Optical Shop
143,Bornem,21366,224.0,45.76,467,118.2,Antwerpen,51.09096325,4.23896772344979,"['51.0598325', '51.1216274', '4.1826086', '4.2795789']",-,Bornem,-,01.01.0001,31.12.9999,Bornem,3,Hotel,Bistro,Athletics & Sports,Pub,Furniture / Home Store
144,Hoogstraten,21355,335.0,105.32,203,99.8,Antwerpen,51.39574085,4.74406564141858,"['51.3756418', '51.4161913', '4.7092841', '4.7853199']",-,Hoogstraten,-,01.01.0001,31.12.9999,Hoogstraten,3,Bar,Restaurant,Supermarket,Friterie,Brasserie
145,Zonhoven,21237,770.0,39.34,540,105.3,Limburg,50.9909835,5.3677683,"['50.9629612', '51.011948', '5.3010367', '5.4647881']",-,Zonhoven,-,01.01.0001,31.12.9999,Zonhoven,0,Bar,Brasserie,Bookstore,Restaurant,Plaza
146,Hoei,21227,183.0,47.74,445,92.1,Luik,50.518085600000006,5.2408138,"['50.467667', '50.5388709', '5.1291778', '5.3237166']",Huy,Hoei,-,01.01.0001,31.12.9999,Huy,0,Bar,Italian Restaurant,Snack Place,Grocery Store,Brasserie
147,Eeklo,21134,237.0,30.05,703,100.7,Oost-Vlaanderen,51.1844827,3.5665965,"['51.162342', '51.2188333', '3.508273', '3.609127']",-,Eeklo,-,01.01.0001,31.12.9999,Eeklo,3,Intersection,Flower Shop,Friterie,Insurance Office,Bus Stop
148,Zele,21125,184.0,33.06,639,97.8,Oost-Vlaanderen,51.0683621,4.0385864,"['51.032115', '51.1023619', '3.9718202', '4.0925235']",-,Zele,-,01.01.0001,31.12.9999,Zele,0,Bar,Bakery,Cosmetics Shop,Playground,Sandwich Place
149,Kontich,21115,485.0,23.67,892,126.2,Antwerpen,51.134377,4.4456359,"['51.0930232', '51.1498225', '4.3964534', '4.486627']",-,Kontich,-,01.01.0001,31.12.9999,Kontich,0,Bar,Sandwich Place,Friterie,Health & Beauty Service,Soup Place
150,Wuustwezel,20970,543.0,89.43,234,104.4,Antwerpen,51.38525,4.56517434504015,"['51.3375747', '51.4328485', '4.5063004', '4.6413243']",-,Wuustwezel,-,01.01.0001,31.12.9999,Wuustwezel,0,Bar,Athletics & Sports,Bus Stop,Friterie,Supermarket
151,Colfontaine,20811,141.0,13.62,1528,72.3,Henegouwen,50.4056635,3.8513958,"['50.3792096', '50.4346477', '3.8140558', '3.8718733']",Colfontaine,-,-,02.01.1977,31.12.9999,Colfontaine,4,Pharmacy,Sports Club,Supermarket,Camera Store,Zoo
152,Chaudfontaine,20800,401.0,25.52,815,129.3,Luik,50.5847922,5.6469688,"['50.5495905', '50.6148987', '5.5888879', '5.6807491']",Chaudfontaine,-,-,01.01.0001,31.12.9999,Chaudfontaine,3,French Restaurant,Italian Restaurant,Athletics & Sports,Pizza Place,Pharmacy
153,Sint-Katelijne-Waver,20792,376.0,36.12,576,116.3,Antwerpen,51.06232435,4.5114278140146915,"['51.0346518', '51.0897868', '4.462809', '4.5697592']",-,Sint-Katelijne-Waver,-,01.01.0001,31.12.9999,Sint-Katelijne-Waver,3,Bus Stop,Athletics & Sports,Friterie,Tennis Court,Coffee Shop
154,Dilsen-Stokkem,20590,466.0,65.61,314,93.0,Limburg,51.0284779,5.7311405,"['50.9958517', '51.0823295', '5.6223653', '5.8011678']",-,Dilsen-Stokkem,-,28.07.1987,31.12.9999,Dilsen-Stokkem,4,Ice Cream Shop,Supermarket,Fruit & Vegetable Store,Park,Belgian Restaurant
155,Tielt,20502,120.0,68.5,299,102.2,West-Vlaanderen,51.0002939,3.3273362,"['50.9610745', '51.0538674', '3.28629', '3.4525562']",-,Tielt,-,01.01.0001,31.12.9999,Tielt,3,Bar,Bakery,Bistro,Gastropub,Pub
156,Torhout,20463,241.0,45.23,452,103.5,West-Vlaanderen,51.0585915,3.0913072045454504,"['51.013576', '51.103847', '3.0434739', '3.1579627']",-,Torhout,-,01.01.0001,31.12.9999,Torhout,0,Bar,Bakery,Supermarket,Pizza Place,Bistro
157,Blankenberge,20436,713.0,17.41,1174,101.4,West-Vlaanderen,51.31651475,3.13225603143341,"['51.3062882', '51.3266288', '3.1071895', '3.1559711']",-,Blankenberge,-,01.01.0001,31.12.9999,Blankenberge,3,Cosmetics Shop,Ice Cream Shop,Pub,Comfort Food Restaurant,French Restaurant
158,Denderleeuw,20338,497.0,13.77,1477,105.1,Oost-Vlaanderen,50.8834499,4.0816397,"['50.864534', '50.911647', '4.028659', '4.089654']",-,Denderleeuw,-,01.01.0001,31.12.9999,Denderleeuw,3,Intersection,Optical Shop,Supermarket,Beer Store,Flower Shop
159,Kortenberg,20279,449.0,34.52,588,125.2,Vlaams-Brabant,50.8858727,4.5390678,"['50.8558486', '50.9348443', '4.5150533', '4.614674']",-,Kortenberg,-,01.01.0001,31.12.9999,Kortenberg,3,Bus Stop,Supermarket,Kebab Restaurant,Café,Flower Shop
160,Boussu,19824,217.0,20.01,991,77.4,Henegouwen,50.43312529999999,3.7960902,"['50.3949879', '50.4525039', '3.7582568', '3.8435475']",Boussu,-,-,01.01.0001,31.12.9999,Boussu,3,Italian Restaurant,Beer Bar,Market,Business Service,Zoo
161,Erpe-Mere,19811,206.0,34.03,582,118.3,Oost-Vlaanderen,50.9226391,3.9459888,"['50.873878', '50.9559796', '3.8927333', '4.0112362']",-,Erpe-Mere,-,01.01.1977,31.12.9999,Erpe-Mere,3,Furniture / Home Store,Gastropub,Whisky Bar,Auto Garage,Zoo
162,Poperinge,19702,97.0,119.33,165,94.2,West-Vlaanderen,50.85257975,2.7124995584724902,"['50.813372', '50.891857', '2.6580541', '2.7826723']",-,Poperinge,-,01.01.0001,31.12.9999,Poperinge,0,Bar,Bakery,Supermarket,Athletics & Sports,Friterie
164,Schilde,19652,950.0,35.99,546,141.6,Antwerpen,51.257095,4.59551821317663,"['51.2197795', '51.2956505', '4.5461346', '4.6331384']",-,Schilde,-,01.01.0001,31.12.9999,Schilde,3,Bakery,Clothing Store,Optical Shop,Cosmetics Shop,Pizza Place
165,Meise,19411,326.0,34.82,557,132.0,Vlaams-Brabant,50.9341625,4.3287322,"['50.9204116', '51.0043784', '4.2704571', '4.3535204']",-,Meise,-,01.01.0001,31.12.9999,Meise,3,Italian Restaurant,Supermarket,Shoe Store,Bar,Pharmacy
166,Sint-Gillis-Waas,19370,214.0,54.98,352,109.6,Oost-Vlaanderen,51.2179895,4.1286101,"['51.17543', '51.2928204', '4.0591166', '4.1666333']",-,Sint-Gillis-Waas,-,01.01.0001,31.12.9999,Sint-Gillis#Saint-Gilles-Waas,0,Bar,Bus Stop,Gym / Fitness Center,Supermarket,Cosmetics Shop
167,Middelkerke,19336,313.0,75.65,256,103.1,West-Vlaanderen,51.18331695,2.8063401225473,"['51.1643568', '51.202037', '2.7739754', '2.8517612']",-,Middelkerke,-,01.01.0001,31.12.9999,Middelkerke,3,Restaurant,Bar,Tea Room,French Restaurant,Friterie
168,Lebbeke,19321,268.0,26.92,718,108.9,Oost-Vlaanderen,51.0004013,4.1307711000000005,"['50.9670261', '51.0216527', '4.0711185', '4.1689591']",-,Lebbeke,-,01.01.0001,31.12.9999,Lebbeke,0,Bar,Italian Restaurant,Lingerie Store,Garden,Soccer Field
169,Jemeppe-sur-Sambre,19190,249.0,46.8,410,94.5,Namen,50.46299585,4.65459860124072,"['50.4427451', '50.4831042', '4.6333851', '4.677008']",Jemeppe-sur-Sambre,-,-,02.01.1977,31.12.9999,Jemeppe-sur-Sambre,0,Chinese Restaurant,Bar,Bakery,Supermarket,Bookstore
170,Morlanwelz,19065,316.0,20.26,941,86.1,Henegouwen,50.4509843,4.2523562,"['50.4219781', '50.4746818', '4.1970488', '4.2832063']",Morlanwelz,-,-,01.01.2019,31.12.9999,Morlanwelz,2,Chinese Restaurant,Italian Restaurant,Bakery,Bookstore,Food & Drink Shop
171,Zwijndrecht,19056,548.0,17.82,1069,111.3,Antwerpen,51.2185443,4.3302898,"['51.1843653', '51.261869', '4.2902985', '4.3569155']",-,Zwijndrecht,-,01.01.0001,31.12.9999,Zwijndrecht,0,Bar,Park,Steakhouse,Plaza,Pharmacy
172,Essen,19038,761.0,47.48,401,100.7,Antwerpen,51.4677957,4.4701309,"['51.4154863', '51.4823977', '4.379317', '4.5481609']",-,Essen,-,01.01.0001,31.12.9999,Essen,0,Bar,Cosmetics Shop,Gym,Belgian Restaurant,Flower Shop
173,Diepenbeek,19031,683.0,41.19,462,106.1,Limburg,50.9078485,5.4200307,"['50.874189', '50.9507023', '5.3651311', '5.479089']",-,Diepenbeek,-,01.01.0001,31.12.9999,Diepenbeek,3,Brasserie,Dance Studio,Bakery,Friterie,Bar
174,Ranst,19008,379.0,43.58,436,119.0,Antwerpen,51.1961732,4.563756361400928,"['51.1750533', '51.2174096', '4.5300817', '4.5933207']",-,Ranst,-,01.01.0001,31.12.9999,Ranst,0,Italian Restaurant,Bakery,Friterie,Bus Stop,Shopping Mall
175,Quaregnon,19007,256.0,11.08,1716,75.8,Henegouwen,50.4421804,3.8636971,"['50.4113763', '50.4593221', '3.8284784', '3.8851582']",Quaregnon,-,-,01.01.0001,31.12.9999,Quaregnon,3,Basketball Court,Grocery Store,Convenience Store,Kebab Restaurant,Italian Restaurant
176,Wervik,18767,192.0,43.61,430,92.2,West-Vlaanderen,50.79981455,3.04298823299639,"['50.7697292', '50.8298611', '2.9986621', '3.0969179']",-,Wervik,-,01.01.0001,31.12.9999,Wervik,0,Bar,Bakery,Plaza,Pet Store,Supermarket
177,Londerzeel,18749,243.0,36.29,517,119.5,Vlaams-Brabant,51.01224660000001,4.29907294163378,"['50.9840243', '51.0405171', '4.2618683', '4.3334492']",-,Londerzeel,-,01.01.0001,31.12.9999,Londerzeel,0,Bar,Sandwich Place,Pharmacy,Supermarket,Plaza
178,Stabroek,18710,749.0,21.51,870,114.4,Antwerpen,51.33518735,4.37031201604402,"['51.313495', '51.3567032', '4.3262167', '4.4060693']",-,Stabroek,-,01.01.0001,31.12.9999,Stabroek,0,Chinese Restaurant,Friterie,Health & Beauty Service,Bar,Bakery
179,Lede,18701,229.0,29.69,630,112.7,Oost-Vlaanderen,50.9698619,3.9878757820186097,"['50.9525554', '50.9871703', '3.9451336', '4.0240394']",-,Lede,-,01.01.0001,31.12.9999,Lede,3,Cultural Center,Lawyer,Coffee Shop,Sauna / Steam Room,Event Service
180,Kalmthout,18695,680.0,59.45,314,113.1,Antwerpen,51.3832723,4.4763255,"['51.3524195', '51.4537909', '4.3836601', '4.5354089']",-,Kalmthout,-,01.01.0001,31.12.9999,Kalmthout,3,Soccer Field,Intersection,Bar,Sandwich Place,Bus Stop
182,Kasterlee,18655,414.0,71.52,261,113.4,Antwerpen,51.2487915,4.989532710760839,"['51.2132485', '51.2846403', '4.9374893', '5.032326']",-,Kasterlee,-,01.01.0001,31.12.9999,Kasterlee,3,Restaurant,Pub,Bar,Sandwich Place,Lingerie Store
183,Haaltert,18633,205.0,30.3,615,115.5,Oost-Vlaanderen,50.9022532,4.0057717,"['50.8585344', '50.9163512', '3.937102', '4.0414805']",-,Haaltert,-,01.01.0001,31.12.9999,Haaltert,3,Convenience Store,IT Services,French Restaurant,Bakery,Butcher
184,Tessenderlo,18613,570.0,51.35,362,108.5,Limburg,51.0681628,5.0893974,"['51.015482', '51.0854839', '4.9801293', '5.1838792']",-,Tessenderlo,-,01.01.0001,31.12.9999,Tessenderlo,0,Bar,Supermarket,Friterie,Clothing Store,Shoe Store
185,Stekene,18445,264.0,44.8,412,105.8,Oost-Vlaanderen,51.2104744,4.02404125321308,"['51.1759752', '51.2456784', '3.9777255', '4.0698835']",-,Stekene,-,01.01.0001,31.12.9999,Stekene,0,Friterie,Bar,Bakery,Supermarket,Pub
186,Walcourt,18430,167.0,123.18,150,101.2,Namen,50.2532022,4.434750900000001,"['50.2159594', '50.3289792', '4.285932', '4.5451613']",Walcourt,-,-,01.01.0001,31.12.9999,Walcourt,4,Bar,Train Station,Supermarket,French Restaurant,Convenience Store
187,Sint-Genesius-Rode,18387,654.0,22.77,807,133.8,Vlaams-Brabant,50.74503,4.3463687,"['50.7151041', '50.7733166', '4.3212035', '4.4240096']",Rhode-Saint-Genèse,Sint-Genesius-Rode,-,01.01.0001,31.12.9999,Sint-Genesius-Rode#Rhode-Saint-Genèse,1,Garden,Wine Bar,Park,Thai Restaurant,Bus Stop
188,Destelbergen,18271,336.0,26.56,688,125.1,Oost-Vlaanderen,51.0556204,3.7978887,"['50.993083', '51.0824688', '3.7560727', '3.844474']",-,Destelbergen,-,01.01.0001,31.12.9999,Destelbergen,3,Notary,Locksmith,Friterie,Bakery,Spa
189,Boom,18244,229.0,7.37,2477,94.8,Antwerpen,51.0873789,4.366721599999999,"['51.080448', '51.1062013', '4.340287', '4.4062338']",-,Boom,-,01.01.0001,31.12.9999,Boom,0,Friterie,Bar,Bakery,Café,Accessories Store
190,Bredene,18095,721.0,13.08,1384,104.9,West-Vlaanderen,51.23890495,2.97257694682836,"['51.214313', '51.2634033', '2.9409715', '3.0125936']",-,Bredene,-,01.01.0001,31.12.9999,Bredene,2,Pharmacy,Bakery,Bookstore,Dog Run,Playground
191,Beerse,18084,1.297,37.48,482,111.0,Antwerpen,51.31349210000001,4.837541749824871,"['51.282533', '51.344377', '4.7758656', '4.8959774']",-,Beerse,-,01.01.0001,31.12.9999,Beerse,3,Bakery,Friterie,Bar,Bistro,Pharmacy
192,Herzele,18027,164.0,47.4,380,114.7,Oost-Vlaanderen,50.88480429999999,3.8935574,"['50.82172', '50.9181466', '3.8377467', '3.949081']",-,Herzele,-,01.01.0001,31.12.9999,Herzele,3,Boutique,Bar,Bus Stop,Soccer Field,Steakhouse
194,Wezet,17812,230.0,27.99,636,94.2,Luik,50.7347797,5.6936397,"['50.671238', '50.8121222', '5.6482547', '5.724954']",Visé,Wezet,-,01.01.0001,31.12.9999,Visé,3,Bar,French Restaurant,Beer Garden,Pizza Place,Fast Food Restaurant
196,Putte,17800,416.0,34.96,509,111.9,Antwerpen,51.0570823,4.6310473,"['51.0172114', '51.0868706', '4.5635107', '4.6892471']",-,Putte,-,01.01.0001,31.12.9999,Putte,0,Bar,Lingerie Store,Bus Stop,Bakery,Notary
197,Herve,17609,139.0,56.84,310,102.8,Luik,50.63921120000001,5.7935245,"['50.5948597', '50.703202', '5.7299908', '5.8609072']",Herve,-,-,01.01.0001,31.12.9999,Herve,0,Bar,Brewery,Concert Hall,Trail,Bakery
198,Duffel,17491,413.0,22.71,770,113.5,Antwerpen,51.0957176,4.5061988,"['51.072574', '51.1169263', '4.4647516', '4.5752018']",-,Duffel,-,01.01.0001,31.12.9999,Duffel,0,Bar,Friterie,Lounge,Bistro,Notary
199,Marche-en-Famenne,17465,289.0,121.4,144,91.4,Luxemburg,50.2265147,5.3407365,"['50.157298', '50.2786904', '5.2065336', '5.4722466']",Marche-en-Famenne,-,-,01.01.0001,31.12.9999,Marche-en-Famenne,3,Sporting Goods Shop,Restaurant,Supermarket,Clothing Store,Furniture / Home Store
200,Pont-à-Celles,17371,224.0,55.73,312,105.1,Henegouwen,50.5122563,4.3617367,"['50.4679776', '50.5628838', '4.3073943', '4.4564952']",Pont-à-Celles,-,-,01.01.0001,31.12.9999,Pont-à-Celles,2,Italian Restaurant,Bakery,Bookstore,Snack Place,Soccer Field
201,Péruwelz,17159,95.0,60.56,283,86.5,Henegouwen,50.509789700000006,3.5908864,"['50.4867209', '50.5800898', '3.4962569', '3.6291618']",Péruwelz,-,-,01.01.0001,31.12.9999,Péruwelz,3,Sandwich Place,Spa,Pizza Place,Theater,Mobile Phone Shop
202,Aubange,17093,433.0,45.6,375,88.6,Luxemburg,49.5671953,5.8044993,"['49.5388', '49.6117468', '5.7036732', '5.873255']",Aubange,-,-,01.01.0001,31.12.9999,Aubange,4,Kebab Restaurant,Bakery,Supermarket,Pizza Place,Soccer Field
203,Soumagne,16925,321.0,27.14,624,99.3,Luik,50.6147718,5.739941,"['50.5992438', '50.6665238', '5.6891627', '5.76894']",Soumagne,-,-,01.01.0001,31.12.9999,Soumagne,3,Playground,Campground,Soccer Field,Castle,Comedy Club
204,Rotselaar,16793,304.0,37.57,447,126.3,Vlaams-Brabant,50.9514713,4.7094054000000005,"['50.928425', '50.9862828', '4.6699517', '4.8033347']",-,Rotselaar,-,01.01.0001,31.12.9999,Rotselaar,0,Bus Stop,Bar,Deli / Bodega,Concert Hall,Food Truck
205,Riemst,16755,242.0,57.88,289,97.5,Limburg,50.8115825,5.5978716,"['50.7635019', '50.843358', '5.513876', '5.6882251']",-,Riemst,-,01.01.0001,31.12.9999,Riemst,3,Furniture / Home Store,Spa,Restaurant,Tourist Information Center,Health & Beauty Service
